證券代碼,公司中文全稱,年,月,報酬率％_月
00688L 國泰20年美債正2,,2018,2,-5.6231
00689R 國泰20年美債反1,,2018,2,2.8558
00690 兆豐臺灣藍籌30,,2018,2,-0.9908
00692 富邦公司治理,,2018,2,-2.7186
00693U 期街口S&P黃豆,,2018,2,3.8421
00700 富邦恒生國企,,2018,2,-4.6968
00701 國泰股利精選30,,2018,2,-1.6394
00702 國泰標普低波高息,,2018,2,-3.8878
00703 台新MSCI中國,,2018,2,-5.2632
00706L 期元大S&P日圓正2,,2018,2,3.0667
00707R 期元大S&P日圓反1,,2018,2,-1.6336
00708L 期元大S&P黃金正2,,2018,2,-1.4305
00709 富邦歐洲,,2018,2,-2.8897
00710B 復華彭博非投等債,,2018,2,-1.0251
00711B 復華彭博新興債,,2018,2,-3.0257
00712 復華富時不動產,,2018,2,-1.6239
00713 元大台灣高息低波,,2018,2,-1.13
00714 群益道瓊美國地產,,2018,2,-4.0108
00715L 期街口布蘭特正2,,2018,2,-2.0417
00717 富邦美國特別股,,2018,2,0.7377
00730 富邦臺灣優質高息,,2018,2,1.0499
0050 元大台灣50,,2018,3,0.7287
0051 元大中型100,,2018,3,1.5624
0052 富邦科技,,2018,3,0.0002
0053 元大電子,,2018,3,0.717
0055 元大MSCI金融,,2018,3,-0.6545
0056 元大高股息,,2018,3,0
0057 富邦摩台,,2018,3,1.2836
0061 元大寶滬深,,2018,3,-4.3078
006203 元大MSCI台灣,,2018,3,0.2344
006204 永豐臺灣加權,,2018,3,-0.3686
006205 富邦上証,,2018,3,-5.1445
006206 元大上證50,,2018,3,-6.8468
006207 復華滬深,,2018,3,-4.7087
006208 富邦台50,,2018,3,-0.0208
00625K 富邦上証+R,,2018,3,-5.777
00631L 元大台灣50正2,,2018,3,1.6958
00632R 元大台灣50反1,,2018,3,-1.7081
00633L 富邦上証正2,,2018,3,-13.7317
00634R 富邦上証反1,,2018,3,5.7228
00635U 期元大S&P黃金,,2018,3,-0.9259
00636 國泰中國A50,,2018,3,-6.3234
00636K 國泰中國A50+U,,2018,3,-6.2828
00637L 元大滬深300 正2,,2018,3,-13.8571
00638R 元大滬深300 反1,,2018,3,5.341
00639 富邦深100,,2018,3,-0.7724
00640L 富邦日本正2,,2018,3,-7.4495
00641R 富邦日本反1,,2018,3,3.0284
00642U 期元大S&P石油,,2018,3,2.2152
00643 群益深証中小,,2018,3,3.4482
00645 富邦日本,,2018,3,-4.121
00646 元大S&P500,,2018,3,-4.0739
00647L 元大S&P500正2,,2018,3,-11.081
00648R 元大S&P500反1,,2018,3,4.5728
00650L 復華香港正2,,2018,3,-8.3163
00651R 復華香港反1,,2018,3,2.7364
00652 富邦印度,,2018,3,-4.3645
00653L 富邦印度正2,,2018,3,-7.9313
00654R 富邦印度反1,,2018,3,3.1544
00655L 國泰中國A50正2,,2018,3,-13.4827
00656R 國泰中國A50反1,,2018,3,6.1356
00657 國泰日經225,,2018,3,-3.3748
00657K 國泰日經225+U,,2018,3,-2.9977
00660 元大歐洲50,,2018,3,-4.1058
00661 元大日經225,,2018,3,-4.4617
00662 富邦NASDAQ,,2018,3,-5.5061
00663L 國泰臺灣加權正2,,2018,3,2.4555
00664R 國泰臺灣加權反1,,2018,3,-1.7807
00665L 富邦恒生國企正2,,2018,3,-9.0165
00666R 富邦恒生國企反1,,2018,3,3.2982
00668 國泰美國道瓊,,2018,3,-5.8327
00668K 國泰美國道瓊+U,,2018,3,-5.157
00669R 國泰美國道瓊反1,,2018,3,5.97
00670L 富邦NASDAQ正2,,2018,3,-11.7664
00671R 富邦NASDAQ反1,,2018,3,5.3707
00673R 期元大S&P原油反1,,2018,3,-3.5554
00674R 期元大S&P黃金反1,,2018,3,0.4823
00675L 富邦臺灣加權正2,,2018,3,2.6656
00676R 富邦臺灣加權反1,,2018,3,-1.894
00678 群益那斯達克生技,,2018,3,-3.0525
00680L 元大美債20正2,,2018,3,6.1269
00681R 元大美債20反1,,2018,3,-2.5511
00682U 期元大美元指數,,2018,3,-0.7337
00683L 期元大美元指正2,,2018,3,-0.3162
00684R 期元大美元指反1,,2018,3,0.74
00685L 群益臺灣加權正2,,2018,3,2.5621
00686R 群益臺灣加權反1,,2018,3,-1.8539
00688L 國泰20年美債正2,,2018,3,6.7096
00689R 國泰20年美債反1,,2018,3,-2.0697
00690 兆豐臺灣藍籌30,,2018,3,0.5454
00692 富邦公司治理,,2018,3,0.8384
00693U 期街口S&P黃豆,,2018,3,0.4382
00700 富邦恒生國企,,2018,3,-5.8694
00701 國泰股利精選30,,2018,3,0.3333
00702 國泰標普低波高息,,2018,3,-3.0211
00703 台新MSCI中國,,2018,3,-1.8817
00706L 期元大S&P日圓正2,,2018,3,1.366
00707R 期元大S&P日圓反1,,2018,3,-0.2078
00708L 期元大S&P黃金正2,,2018,3,-1.4517
00709 富邦歐洲,,2018,3,-3.4148
00710B 復華彭博非投等債,,2018,3,0.005
00711B 復華彭博新興債,,2018,3,-0.4029
00712 復華富時不動產,,2018,3,1.6453
00713 元大台灣高息低波,,2018,3,0.4244
00714 群益道瓊美國地產,,2018,3,-0.2231
00715L 期街口布蘭特正2,,2018,3,6.6782
00717 富邦美國特別股,,2018,3,-0.1044
00730 富邦臺灣優質高息,,2018,3,-0.8412
0050 元大台灣50,,2018,4,-3.5565
0051 元大中型100,,2018,4,-1.4771
0052 富邦科技,,2018,4,-5.7997
0053 元大電子,,2018,4,-5.4765
0055 元大MSCI金融,,2018,4,2.9939
0056 元大高股息,,2018,4,-2.1197
0057 富邦摩台,,2018,4,-3.879
0061 元大寶滬深,,2018,4,-0.804
006203 元大MSCI台灣,,2018,4,-3.2727
006204 永豐臺灣加權,,2018,4,-2.7753
006205 富邦上証,,2018,4,-1.3638
006206 元大上證50,,2018,4,-1.3563
006207 復華滬深,,2018,4,-1.8005
006208 富邦台50,,2018,4,-2.576
00625K 富邦上証+R,,2018,4,-3.0657
00631L 元大台灣50正2,,2018,4,-5.5407
00632R 元大台灣50反1,,2018,4,2.2908
00633L 富邦上証正2,,2018,4,-5.495
00634R 富邦上証反1,,2018,4,1.9944
00635U 期元大S&P黃金,,2018,4,-0.2951
00636 國泰中國A50,,2018,4,-2.6035
00636K 國泰中國A50+U,,2018,4,-4.8883
00637L 元大滬深300 正2,,2018,4,-5.4624
00638R 元大滬深300 反1,,2018,4,3.7324
00639 富邦深100,,2018,4,-3.8926
00640L 富邦日本正2,,2018,4,7.2179
00641R 富邦日本反1,,2018,4,-3.8743
00642U 期元大S&P石油,,2018,4,4.6874
00643 群益深証中小,,2018,4,-7.2223
00645 富邦日本,,2018,4,3.7952
00646 元大S&P500,,2018,4,2.3166
00647L 元大S&P500正2,,2018,4,3.5072
00648R 元大S&P500反1,,2018,4,-1.5055
00650L 復華香港正2,,2018,4,4.5071
00651R 復華香港反1,,2018,4,-1.0893
00652 富邦印度,,2018,4,2.9084
00653L 富邦印度正2,,2018,4,9.9624
00654R 富邦印度反1,,2018,4,-4.8147
00655L 國泰中國A50正2,,2018,4,-6.6484
00656R 國泰中國A50反1,,2018,4,3.5287
00657 國泰日經225,,2018,4,3.9483
00657K 國泰日經225+U,,2018,4,2.6489
00660 元大歐洲50,,2018,4,5.2566
00661 元大日經225,,2018,4,5.1519
00662 富邦NASDAQ,,2018,4,1.8797
00663L 國泰臺灣加權正2,,2018,4,-4.9378
00664R 國泰臺灣加權反1,,2018,4,2.092
00665L 富邦恒生國企正2,,2018,4,2.964
00666R 富邦恒生國企反1,,2018,4,-1.0903
00668 國泰美國道瓊,,2018,4,2.4858
00668K 國泰美國道瓊+U,,2018,4,0.709
00669R 國泰美國道瓊反1,,2018,4,-1.5494
00670L 富邦NASDAQ正2,,2018,4,2.2167
00671R 富邦NASDAQ反1,,2018,4,-2.129
00673R 期元大S&P原油反1,,2018,4,-3.95
00674R 期元大S&P黃金反1,,2018,4,0.3198
00675L 富邦臺灣加權正2,,2018,4,-4.9266
00676R 富邦臺灣加權反1,,2018,4,2.3166
00678 群益那斯達克生技,,2018,4,-0.1431
00680L 元大美債20正2,,2018,4,-4.5362
00681R 元大美債20反1,,2018,4,2.356
00682U 期元大美元指數,,2018,4,1.9895
00683L 期元大美元指正2,,2018,4,4.3149
00684R 期元大美元指反1,,2018,4,-2.3875
00685L 群益臺灣加權正2,,2018,4,-5.6018
00686R 群益臺灣加權反1,,2018,4,2.1252
00688L 國泰20年美債正2,,2018,4,-5.6336
00689R 國泰20年美債反1,,2018,4,2.0105
00690 兆豐臺灣藍籌30,,2018,4,-0.4975
00692 富邦公司治理,,2018,4,-2.8175
00693U 期街口S&P黃豆,,2018,4,0.0969
00700 富邦恒生國企,,2018,4,3.8077
00701 國泰股利精選30,,2018,4,-0.3321
00702 國泰標普低波高息,,2018,4,3.168
00703 台新MSCI中國,,2018,4,0.4566
00706L 期元大S&P日圓正2,,2018,4,-5.9191
00707R 期元大S&P日圓反1,,2018,4,2.5481
00708L 期元大S&P黃金正2,,2018,4,-1.1683
00709 富邦歐洲,,2018,4,4.0405
00710B 復華彭博非投等債,,2018,4,2.4442
00711B 復華彭博新興債,,2018,4,0.5367
00712 復華富時不動產,,2018,4,2.4651
00713 元大台灣高息低波,,2018,4,-1.3983
00714 群益道瓊美國地產,,2018,4,2.9235
00715L 期街口布蘭特正2,,2018,4,14.992
00717 富邦美國特別股,,2018,4,1.2566
00728 第一金工業30,,2018,4,-4.4
00730 富邦臺灣優質高息,,2018,4,-3.044
00731 復華富時高息低波,,2018,4,-0.8
0050 元大台灣50,,2018,5,0.9375
0051 元大中型100,,2018,5,5.278
0052 富邦科技,,2018,5,-1.4682
0053 元大電子,,2018,5,3.0127
0055 元大MSCI金融,,2018,5,0.6395
0056 元大高股息,,2018,5,3.1101
0057 富邦摩台,,2018,5,0.7504
0061 元大寶滬深,,2018,5,0.216
006203 元大MSCI台灣,,2018,5,1.0472
006204 永豐臺灣加權,,2018,5,2.7594
006205 富邦上証,,2018,5,0.3217
006206 元大上證50,,2018,5,-0.8952
006207 復華滬深,,2018,5,1.0235
006208 富邦台50,,2018,5,0.4267
00625K 富邦上証+R,,2018,5,-0.3013
00631L 元大台灣50正2,,2018,5,2.9045
00632R 元大台灣50反1,,2018,5,-2.085
00633L 富邦上証正2,,2018,5,-0.1922
00634R 富邦上証反1,,2018,5,0.2794
00635U 期元大S&P黃金,,2018,5,-1.7764
00636 國泰中國A50,,2018,5,-0.0001
00636K 國泰中國A50+U,,2018,5,-1.0278
00637L 元大滬深300 正2,,2018,5,-0.0636
00638R 元大滬深300 反1,,2018,5,-0.2715
00639 富邦深100,,2018,5,0.4502
00640L 富邦日本正2,,2018,5,-3.468
00641R 富邦日本反1,,2018,5,1.3899
00642U 期元大S&P石油,,2018,5,0.7702
00643 群益深証中小,,2018,5,0.2661
00643K 群益深証中小+R,,2018,5,1.5824
00645 富邦日本,,2018,5,-2.1146
00646 元大S&P500,,2018,5,2.893
00647L 元大S&P500正2,,2018,5,3.2565
00648R 元大S&P500反1,,2018,5,-1.6011
00650L 復華香港正2,,2018,5,-2.1565
00651R 復華香港反1,,2018,5,0.6119
00652 富邦印度,,2018,5,-0.5217
00653L 富邦印度正2,,2018,5,-3.3722
00654R 富邦印度反1,,2018,5,0.4783
00655L 國泰中國A50正2,,2018,5,-0.6861
00656R 國泰中國A50反1,,2018,5,-0.4351
00657 國泰日經225,,2018,5,-0.7671
00657K 國泰日經225+U,,2018,5,-2.1506
00660 元大歐洲50,,2018,5,-0.8055
00661 元大日經225,,2018,5,-1.9036
00662 富邦NASDAQ,,2018,5,5.7932
00663L 國泰臺灣加權正2,,2018,5,3.9492
00664R 國泰臺灣加權反1,,2018,5,-2.1174
00665L 富邦恒生國企正2,,2018,5,-5.3795
00666R 富邦恒生國企反1,,2018,5,2.9132
00668 國泰美國道瓊,,2018,5,2.5845
00668K 國泰美國道瓊+U,,2018,5,1.0563
00669R 國泰美國道瓊反1,,2018,5,-1.0732
00670L 富邦NASDAQ正2,,2018,5,7.862
00671R 富邦NASDAQ反1,,2018,5,-4.2188
00673R 期元大S&P原油反1,,2018,5,-1.4393
00674R 期元大S&P黃金反1,,2018,5,1.8077
00675L 富邦臺灣加權正2,,2018,5,3.5716
00676R 富邦臺灣加權反1,,2018,5,-2.3899
00678 群益那斯達克生技,,2018,5,2.7711
00680L 元大美債20正2,,2018,5,3.9956
00681R 元大美債20反1,,2018,5,-2.5065
00682U 期元大美元指數,,2018,5,3.2329
00683L 期元大美元指正2,,2018,5,6.0828
00684R 期元大美元指反1,,2018,5,-3.7631
00685L 群益臺灣加權正2,,2018,5,4.25
00686R 群益臺灣加權反1,,2018,5,-1.9654
00688L 國泰20年美債正2,,2018,5,3.731
00689R 國泰20年美債反1,,2018,5,-2.2234
00690 兆豐臺灣藍籌30,,2018,5,-1.2269
00692 富邦公司治理,,2018,5,0.2376
00693U 期街口S&P黃豆,,2018,5,-3.8741
00700 富邦恒生國企,,2018,5,-1.8797
00701 國泰股利精選30,,2018,5,-0.6191
00702 國泰標普低波高息,,2018,5,2.3541
00703 台新MSCI中國,,2018,5,2.1364
00706L 期元大S&P日圓正2,,2018,5,0.3579
00707R 期元大S&P日圓反1,,2018,5,-0.3045
00708L 期元大S&P黃金正2,,2018,5,-3.3402
00709 富邦歐洲,,2018,5,-1.7478
00710B 復華彭博非投等債,,2018,5,1.1171
00711B 復華彭博新興債,,2018,5,0.0001
00712 復華富時不動產,,2018,5,4.7568
00713 元大台灣高息低波,,2018,5,1.616
00714 群益道瓊美國地產,,2018,5,3.9558
00715L 期街口布蘭特正2,,2018,5,11.8238
00717 富邦美國特別股,,2018,5,1.3444
00728 第一金工業30,,2018,5,0.4707
00730 富邦臺灣優質高息,,2018,5,1.3894
00731 復華富時高息低波,,2018,5,1.9151
00733 富邦臺灣中小,,2018,5,2.55
0050 元大台灣50,,2018,6,0.8669
0051 元大中型100,,2018,6,-1.7205
0052 富邦科技,,2018,6,-2.4828
0053 元大電子,,2018,6,-0.2249
0055 元大MSCI金融,,2018,6,0.6356
0056 元大高股息,,2018,6,-2.024
0057 富邦摩台,,2018,6,-0.9663
0061 元大寶滬深,,2018,6,-8.7332
006203 元大MSCI台灣,,2018,6,0.4518
006204 永豐臺灣加權,,2018,6,0.2779
006205 富邦上証,,2018,6,-8.5256
006206 元大上證50,,2018,6,-8.0348
006207 復華滬深,,2018,6,-9.0333
006208 富邦台50,,2018,6,0.9554
00625K 富邦上証+R,,2018,6,-7.251
00631L 元大台灣50正2,,2018,6,1.6602
00632R 元大台灣50反1,,2018,6,-0.9463
00633L 富邦上証正2,,2018,6,-12.1087
00634R 富邦上証反1,,2018,6,8.2175
00635U 期元大S&P黃金,,2018,6,-4.1688
00636 國泰中國A50,,2018,6,-6.9307
00636K 國泰中國A50+U,,2018,6,-7.5669
00637L 元大滬深300 正2,,2018,6,-12.1349
00638R 元大滬深300 反1,,2018,6,6.8072
00639 富邦深100,,2018,6,-10.3944
00640L 富邦日本正2,,2018,6,-2.1978
00641R 富邦日本反1,,2018,6,0.4112
00642U 期元大S&P石油,,2018,6,7.3581
00643 群益深証中小,,2018,6,-10.2853
00645 富邦日本,,2018,6,-1.1702
00646 元大S&P500,,2018,6,1.9154
00647L 元大S&P500正2,,2018,6,1.2743
00648R 元大S&P500反1,,2018,6,0.1479
00650L 復華香港正2,,2018,6,-8.3195
00651R 復華香港反1,,2018,6,3.893
00652 富邦印度,,2018,6,-0.0875
00653L 富邦印度正2,,2018,6,1.1278
00654R 富邦印度反1,,2018,6,0.4084
00655L 國泰中國A50正2,,2018,6,-12.7632
00656R 國泰中國A50反1,,2018,6,6.1179
00657 國泰日經225,,2018,6,0.2945
00657K 國泰日經225+U,,2018,6,-1.4285
00660 元大歐洲50,,2018,6,-1.2586
00661 元大日經225,,2018,6,0.6109
00662 富邦NASDAQ,,2018,6,3.6625
00663L 國泰臺灣加權正2,,2018,6,1.2858
00664R 國泰臺灣加權反1,,2018,6,-0.9072
00665L 富邦恒生國企正2,,2018,6,-12.4769
00666R 富邦恒生國企反1,,2018,6,6.886
00668 國泰美國道瓊,,2018,6,0.3877
00668K 國泰美國道瓊+U,,2018,6,-1.2777
00669R 國泰美國道瓊反1,,2018,6,1.157
00670L 富邦NASDAQ正2,,2018,6,2.1679
00671R 富邦NASDAQ反1,,2018,6,-1.5828
00673R 期元大S&P原油反1,,2018,6,-6.9541
00674R 期元大S&P黃金反1,,2018,6,4.5429
00675L 富邦臺灣加權正2,,2018,6,1.4875
00676R 富邦臺灣加權反1,,2018,6,-1.0309
00678 群益那斯達克生技,,2018,6,2.464
00680L 元大美債20正2,,2018,6,1.8689
00681R 元大美債20反1,,2018,6,-0.6294
00682U 期元大美元指數,,2018,6,1.0799
00683L 期元大美元指正2,,2018,6,2.0641
00684R 期元大美元指反1,,2018,6,-0.7333
00685L 群益臺灣加權正2,,2018,6,1.2308
00686R 群益臺灣加權反1,,2018,6,-1.0612
00688L 國泰20年美債正2,,2018,6,1.8498
00689R 國泰20年美債反1,,2018,6,-0.1548
00690 兆豐臺灣藍籌30,,2018,6,1.7026
00692 富邦公司治理,,2018,6,0.0473
00693U 期街口S&P黃豆,,2018,6,-15.063
00700 富邦恒生國企,,2018,6,-4.9534
00701 國泰股利精選30,,2018,6,1.4854
00702 國泰標普低波高息,,2018,6,4.0001
00703 台新MSCI中國,,2018,6,-5.9192
00706L 期元大S&P日圓正2,,2018,6,-3.7205
00707R 期元大S&P日圓反1,,2018,6,2.1871
00708L 期元大S&P黃金正2,,2018,6,-7.9746
00709 富邦歐洲,,2018,6,-1.1363
00710B 復華彭博非投等債,,2018,6,1.8919
00711B 復華彭博新興債,,2018,6,1.3414
00712 復華富時不動產,,2018,6,2.4482
00713 元大台灣高息低波,,2018,6,-0.6815
00714 群益道瓊美國地產,,2018,6,5.4968
00715L 期街口布蘭特正2,,2018,6,-0.0311
00717 富邦美國特別股,,2018,6,2.6021
00728 第一金工業30,,2018,6,1.77
00730 富邦臺灣優質高息,,2018,6,1.6243
00731 復華富時高息低波,,2018,6,1.0882
00733 富邦臺灣中小,,2018,6,-2.1453
00735 國泰臺韓科技,,2018,6,-5.5997
00736 國泰新興市場,,2018,6,-4.5499
00737 國泰AI+Robo,,2018,6,-2.0499
00738U 期元大道瓊白銀,,2018,6,-2.85
00739 元大MSCI A股,,2018,6,-4
0050 元大台灣50,,2018,7,5.9034
0051 元大中型100,,2018,7,2.8372
0052 富邦科技,,2018,7,9.1619
0053 元大電子,,2018,7,5.1014
0055 元大MSCI金融,,2018,7,2.1239
0056 元大高股息,,2018,7,5.9626
0057 富邦摩台,,2018,7,6.199
0061 元大寶滬深,,2018,7,-0.5316
006203 元大MSCI台灣,,2018,7,4.9024
006204 永豐臺灣加權,,2018,7,4.6169
006205 富邦上証,,2018,7,0.4557
006206 元大上證50,,2018,7,1.1227
006207 復華滬深,,2018,7,-1.1135
006208 富邦台50,,2018,7,4.7335
00625K 富邦上証+R,,2018,7,4.5601
00631L 元大台灣50正2,,2018,7,9.3629
00632R 元大台灣50反1,,2018,7,-3.9807
00633L 富邦上証正2,,2018,7,3.8896
00634R 富邦上証反1,,2018,7,-2.1879
00635U 期元大S&P黃金,,2018,7,-2.5156
00636 國泰中國A50,,2018,7,-0.9041
00636K 國泰中國A50+U,,2018,7,-1.4447
00637L 元大滬深300 正2,,2018,7,4.1216
00638R 元大滬深300 反1,,2018,7,-2.2945
00639 富邦深100,,2018,7,-3.2001
00640L 富邦日本正2,,2018,7,2.8522
00641R 富邦日本反1,,2018,7,-1.5699
00642U 期元大S&P石油,,2018,7,-1.4686
00643 群益深証中小,,2018,7,-3.4763
00643K 群益深証中小+R,,2018,7,0.6895
00645 富邦日本,,2018,7,2.3224
00646 元大S&P500,,2018,7,3.3986
00647L 元大S&P500正2,,2018,7,5.3475
00648R 元大S&P500反1,,2018,7,-2.6588
00650L 復華香港正2,,2018,7,-1.5625
00651R 復華香港反1,,2018,7,0.2344
00652 富邦印度,,2018,7,5.2929
00653L 富邦印度正2,,2018,7,11.4326
00654R 富邦印度反1,,2018,7,-5.2168
00655L 國泰中國A50正2,,2018,7,4.0725
00656R 國泰中國A50反1,,2018,7,-3.2259
00657 國泰日經225,,2018,7,1.7249
00657K 國泰日經225+U,,2018,7,1.115
00660 元大歐洲50,,2018,7,3.4953
00661 元大日經225,,2018,7,1.5713
00662 富邦NASDAQ,,2018,7,1.5813
00663L 國泰臺灣加權正2,,2018,7,7.761
00664R 國泰臺灣加權反1,,2018,7,-3.8733
00665L 富邦恒生國企正2,,2018,7,1.5447
00666R 富邦恒生國企反1,,2018,7,-1.7895
00668 國泰美國道瓊,,2018,7,3.7066
00668K 國泰美國道瓊+U,,2018,7,3.0588
00669R 國泰美國道瓊反1,,2018,7,-3.5741
00670L 富邦NASDAQ正2,,2018,7,3.6288
00671R 富邦NASDAQ反1,,2018,7,-2.3078
00673R 期元大S&P原油反1,,2018,7,1.644
00674R 期元大S&P黃金反1,,2018,7,2.4476
00675L 富邦臺灣加權正2,,2018,7,7.4615
00676R 富邦臺灣加權反1,,2018,7,-3.5154
00678 群益那斯達克生技,,2018,7,5.8982
00680L 元大美債20正2,,2018,7,-3.5167
00681R 元大美債20反1,,2018,7,1.5312
00682U 期元大美元指數,,2018,7,-0.5877
00683L 期元大美元指正2,,2018,7,-0.7303
00684R 期元大美元指反1,,2018,7,0.3445
00685L 群益臺灣加權正2,,2018,7,7.2948
00686R 群益臺灣加權反1,,2018,7,-3.6951
00688L 國泰20年美債正2,,2018,7,-2.977
00689R 國泰20年美債反1,,2018,7,1.2938
00690 兆豐臺灣藍籌30,,2018,7,3.6652
00692 富邦公司治理,,2018,7,4.5667
00693U 期街口S&P黃豆,,2018,7,0.2374
00700 富邦恒生國企,,2018,7,1.2292
00701 國泰股利精選30,,2018,7,3.9754
00702 國泰標普低波高息,,2018,7,0.4905
00703 台新MSCI中國,,2018,7,-0.4258
00706L 期元大S&P日圓正2,,2018,7,-1.5352
00707R 期元大S&P日圓反1,,2018,7,0.1992
00708L 期元大S&P黃金正2,,2018,7,-5.4304
00709 富邦歐洲,,2018,7,3.4983
00710B 復華彭博非投等債,,2018,7,1.1964
00711B 復華彭博新興債,,2018,7,3.0834
00712 復華富時不動產,,2018,7,3.1462
00713 元大台灣高息低波,,2018,7,4.314
00714 群益道瓊美國地產,,2018,7,-0.261
00715L 期街口布蘭特正2,,2018,7,-5.273
00717 富邦美國特別股,,2018,7,1.2918
00728 第一金工業30,,2018,7,4.3989
00730 富邦臺灣優質高息,,2018,7,3.5465
00731 復華富時高息低波,,2018,7,3.131
00733 富邦臺灣中小,,2018,7,-1.7939
00735 國泰臺韓科技,,2018,7,4.3432
00736 國泰新興市場,,2018,7,3.4571
00737 國泰AI+Robo,,2018,7,2.9097
00738U 期元大道瓊白銀,,2018,7,-4.1688
00739 元大MSCI A股,,2018,7,-0.9896
0050 元大台灣50,,2018,8,1.6362
0051 元大中型100,,2018,8,0.0293
0052 富邦科技,,2018,8,2.0204
0053 元大電子,,2018,8,0.1341
0055 元大MSCI金融,,2018,8,2.6982
0056 元大高股息,,2018,8,2.1698
0057 富邦摩台,,2018,8,0.7657
0061 元大寶滬深,,2018,8,-4.4537
006203 元大MSCI台灣,,2018,8,2.0612
006204 永豐臺灣加權,,2018,8,0.4414
006205 富邦上証,,2018,8,-3.3833
006206 元大上證50,,2018,8,-2.1858
006207 復華滬深,,2018,8,-4.3643
006208 富邦台50,,2018,8,2.1365
00625K 富邦上証+R,,2018,8,-4.3612
00631L 元大台灣50正2,,2018,8,1.6925
00632R 元大台灣50反1,,2018,8,-0.8291
00633L 富邦上証正2,,2018,8,-6.4327
00634R 富邦上証反1,,2018,8,2.6316
00635U 期元大S&P黃金,,2018,8,-1.7743
00636 國泰中國A50,,2018,8,-2.6839
00636K 國泰中國A50+U,,2018,8,-4.2346
00637L 元大滬深300 正2,,2018,8,-6.3889
00638R 元大滬深300 反1,,2018,8,2.6745
00639 富邦深100,,2018,8,-6.7149
00640L 富邦日本正2,,2018,8,-2.1848
00641R 富邦日本反1,,2018,8,0.9014
00642U 期元大S&P石油,,2018,8,2.0323
00643 群益深証中小,,2018,8,-7.5094
00645 富邦日本,,2018,8,-1.1126
00646 元大S&P500,,2018,8,4.0603
00647L 元大S&P500正2,,2018,8,6.9872
00648R 元大S&P500反1,,2018,8,-3.1107
00650L 復華香港正2,,2018,8,-4.7618
00651R 復華香港反1,,2018,8,2.2195
00652 富邦印度,,2018,8,1.5373
00653L 富邦印度正2,,2018,8,7.4757
00654R 富邦印度反1,,2018,8,-3.5025
00655L 國泰中國A50正2,,2018,8,-6.9563
00656R 國泰中國A50反1,,2018,8,2.1984
00657 國泰日經225,,2018,8,1.2263
00657K 國泰日經225+U,,2018,8,0.7717
00660 元大歐洲50,,2018,8,-1.7082
00661 元大日經225,,2018,8,-0.1759
00662 富邦NASDAQ,,2018,8,6.3265
00663L 國泰臺灣加權正2,,2018,8,0.8031
00664R 國泰臺灣加權反1,,2018,8,-0.8057
00665L 富邦恒生國企正2,,2018,8,-2.2128
00666R 富邦恒生國企反1,,2018,8,1.6766
00668 國泰美國道瓊,,2018,8,2.5317
00668K 國泰美國道瓊+U,,2018,8,2.7398
00669R 國泰美國道瓊反1,,2018,8,-2.8171
00670L 富邦NASDAQ正2,,2018,8,12.1959
00671R 富邦NASDAQ反1,,2018,8,-5.7268
00673R 期元大S&P原油反1,,2018,8,-1.6177
00674R 期元大S&P黃金反1,,2018,8,1.4625
00675L 富邦臺灣加權正2,,2018,8,0.4959
00676R 富邦臺灣加權反1,,2018,8,-0.8099
00678 群益那斯達克生技,,2018,8,6.8981
00680L 元大美債20正2,,2018,8,2.377
00681R 元大美債20反1,,2018,8,-1.4563
00682U 期元大美元指數,,2018,8,1.2896
00683L 期元大美元指正2,,2018,8,1.4148
00684R 期元大美元指反1,,2018,8,-0.5888
00685L 群益臺灣加權正2,,2018,8,1.0623
00686R 群益臺灣加權反1,,2018,8,-0.3712
00688L 國泰20年美債正2,,2018,8,2.0281
00689R 國泰20年美債反1,,2018,8,-1.533
00690 兆豐臺灣藍籌30,,2018,8,0.6547
00692 富邦公司治理,,2018,8,2.1838
00693U 期街口S&P黃豆,,2018,8,-6.2721
00700 富邦恒生國企,,2018,8,-1.3597
00701 國泰股利精選30,,2018,8,3.1121
00702 國泰標普低波高息,,2018,8,1.5533
00703 台新MSCI中國,,2018,8,-3.2781
00706L 期元大S&P日圓正2,,2018,8,-0.1076
00707R 期元大S&P日圓反1,,2018,8,0.2485
00708L 期元大S&P黃金正2,,2018,8,-3.4819
00709 富邦歐洲,,2018,8,-0.6763
00710B 復華彭博非投等債,,2018,8,0.8867
00711B 復華彭博新興債,,2018,8,0.8252
00712 復華富時不動產,,2018,8,0.7118
00713 元大台灣高息低波,,2018,8,1.5664
00714 群益道瓊美國地產,,2018,8,2.7413
00715L 期街口布蘭特正2,,2018,8,6.0249
00717 富邦美國特別股,,2018,8,1.1624
00728 第一金工業30,,2018,8,1.3231
00730 富邦臺灣優質高息,,2018,8,1.3027
00731 復華富時高息低波,,2018,8,1.0436
00733 富邦臺灣中小,,2018,8,-3.5009
00735 國泰臺韓科技,,2018,8,1.7767
00736 國泰新興市場,,2018,8,-3.2912
00737 國泰AI+Robo,,2018,8,8.7797
00738U 期元大道瓊白銀,,2018,8,-6.1225
00739 元大MSCI A股,,2018,8,-4.7869
0050 元大台灣50,,2018,9,-0.0576
0051 元大中型100,,2018,9,-3.9319
0052 富邦科技,,2018,9,0.3601
0053 元大電子,,2018,9,-2.6514
0055 元大MSCI金融,,2018,9,2.9557
0056 元大高股息,,2018,9,-1.8
0057 富邦摩台,,2018,9,-0.2846
